feature,type,is_flag,metric_name,metric_value,p_value,is_significant,is_selected,n_samples
koi_score,continuous,False,spearman,0.7504477082991555,0.0,True,True,8054
koi_fwm_stat_sig,continuous,False,spearman,0.4513216821049787,0.0,True,True,8488
koi_srho_err2,continuous,False,spearman,0.37745509920627757,0.0,True,True,9243
koi_dor_err2,continuous,False,spearman,0.36512260147789094,2.4035167895014288e-285,True,True,9110
koi_dor_err1,continuous,False,spearman,0.36512260147789094,2.4035167895014288e-285,True,True,9110
koi_incl,continuous,False,spearman,0.36233791131469467,1.773386876220093e-283,True,True,9200
koi_prad_err1,continuous,False,spearman,0.35149781389780654,8.824311396614853e-266,True,True,9201
koi_count,categorical,False,chi_square,0.3427243947183581,0.0,True,True,9564
koi_dor,continuous,False,spearman,0.32953534602399004,5.960688866593612e-232,True,True,9201
koi_dikco_mdec_err,continuous,False,spearman,0.32834500088893026,4.60850037650351e-225,True,True,8994
koi_period_err1,continuous,False,spearman,0.3274398682074558,1.2701831127655688e-226,True,True,9110
koi_period_err2,continuous,False,spearman,0.3274398682074558,1.2701831127655688e-226,True,True,9110
koi_dikco_mra_err,continuous,False,spearman,0.3193298355898774,2.5859434112216736e-212,True,True,8994
koi_prad_err2,continuous,False,spearman,0.3160675550312411,1.524399133339658e-212,True,True,9201
koi_dikco_msky_err,continuous,False,spearman,0.3147371010902836,5.50109683019618e-206,True,True,8994
koi_max_sngle_ev,continuous,False,spearman,0.3137896664643927,8.336679863831467e-192,True,True,8422
koi_prad,continuous,False,spearman,0.3120393997785991,6.247370619211112e-207,True,True,9201
koi_dicco_mdec_err,continuous,False,spearman,0.31137776693788466,8.73383659172958e-201,True,True,8965
koi_model_snr,continuous,False,spearman,0.3085438241050858,3.9400756164017913e-202,True,True,9201
koi_dicco_mra_err,continuous,False,spearman,0.3006176762452728,1.2519237097740545e-186,True,True,8965
koi_dicco_msky_err,continuous,False,spearman,0.29370693746380233,7.514560612866469e-178,True,False,8965
koi_max_mult_ev,continuous,False,spearman,0.2870740337487871,1.6928682993430661e-159,True,False,8422
koi_steff_err2,continuous,False,spearman,0.28574568706336917,3.475134996121188e-170,True,False,9081
koi_insol,continuous,False,spearman,0.2847730582113647,5.680637534866251e-172,True,False,9243
koi_insol_err1,continuous,False,spearman,0.2836674401709469,1.3429260948263318e-170,True,False,9243
koi_ror,continuous,False,spearman,0.28224587964471853,4.3968640018333e-168,True,False,9201
koi_teq,continuous,False,spearman,0.28221205007295813,4.837710630346068e-168,True,False,9201
koi_steff_err1,continuous,False,spearman,0.2806108393620707,3.270273974037332e-164,True,False,9096
koi_fwm_sra_err,continuous,False,spearman,0.2801635279883215,5.349400259911333e-163,True,False,9058
koi_fwm_sdec_err,continuous,False,spearman,0.2773417241172301,1.2216575459157888e-159,True,False,9058
koi_srho,continuous,False,spearman,0.276895875789282,2.5414276820921543e-162,True,False,9243
koi_impact,continuous,False,spearman,0.2754206203682504,7.904608005722269e-160,True,False,9201
koi_fwm_sdeco_err,continuous,False,spearman,0.27476054367439506,1.7949608377818342e-157,True,False,9109
koi_srho_err1,continuous,False,spearman,0.27462053247977336,1.3615483702292995e-159,True,False,9243
koi_fwm_srao_err,continuous,False,spearman,0.27186015013466175,4.436267951309024e-154,True,False,9109
koi_insol_err2,continuous,False,spearman,0.27061892676563815,7.415220092676809e-155,True,False,9243
koi_smet_err2,continuous,False,spearman,0.26955221045641875,1.591150473127081e-152,True,False,9177
koi_smet_err1,continuous,False,spearman,0.24990382301417485,1.1029303338682345e-130,True,False,9177
koi_smass_err1,continuous,False,spearman,0.24004224569176053,2.222270047457869e-119,True,False,9096
koi_sma,continuous,False,spearman,0.2400046375077446,1.07031038761725e-120,True,False,9201
koi_period,continuous,False,spearman,0.2375735331729581,8.045981369055252e-123,True,False,9564
koi_smet,continuous,False,spearman,0.22721112914867692,8.875815980865208e-108,True,False,9178
koi_num_transits,continuous,False,spearman,0.22505296298869754,3.5745391130712996e-97,True,False,8422
koi_time0_err2,continuous,False,spearman,0.22282651167445153,7.107522898821951e-103,True,False,9110
koi_time0_err1,continuous,False,spearman,0.22282651167445153,7.107522898821951e-103,True,False,9110
koi_time0bk_err1,continuous,False,spearman,0.22282651167445153,7.107522898821951e-103,True,False,9110
koi_time0bk_err2,continuous,False,spearman,0.22282651167445153,7.107522898821951e-103,True,False,9110
koi_ror_err1,continuous,False,spearman,0.22280666894260076,7.275479317312375e-104,True,False,9201
koi_depth,continuous,False,spearman,0.2148319984622289,1.5841552857373963e-96,True,False,9201
koi_srad_err1,continuous,False,spearman,0.2062709250239617,5.581133097515558e-88,True,False,9096
koi_smass_err2,continuous,False,spearman,0.20392710885068274,5.415061006237782e-86,True,False,9096
koi_time0,continuous,False,spearman,0.19575806366094203,3.0576818577311335e-83,True,False,9564
koi_time0bk,continuous,False,spearman,0.19575349026689376,3.085093526315762e-83,True,False,9564
koi_ror_err2,continuous,False,spearman,0.1932067172604708,4.3623342389766225e-78,True,False,9201
koi_tce_plnt_num,categorical,False,chi_square,0.19139689173748728,4.6615243469466236e-135,True,False,9218
koi_impact_err2,continuous,False,spearman,0.1913301874754406,7.581769538819535e-76,True,False,9110
koi_fpflag_ss,binary,True,mutual_info,0.1829310266487269,,True,False,9564
koi_duration_err1,continuous,False,spearman,0.18261058985962048,3.8230344272031067e-69,True,False,9110
koi_duration_err2,continuous,False,spearman,0.18261058985962048,3.8230344272031067e-69,True,False,9110
koi_ldm_coeff1,continuous,False,spearman,0.17297674368998558,9.998143230907985e-63,True,False,9201
koi_dikco_msky,continuous,False,spearman,0.16041029271444,6.565911305124459e-53,True,False,8994
koi_dicco_msky,continuous,False,spearman,0.1587033443900288,1.1874546747159082e-51,True,False,8965
koi_fpflag_co,binary,True,mutual_info,0.15848996461197196,,True,False,9564
koi_slogg_err2,continuous,False,spearman,0.14646131864224696,8.586610708186513e-45,True,False,9096
koi_ldm_coeff2,continuous,False,spearman,0.1451574556663665,1.6474408648534505e-44,True,False,9201
koi_steff,continuous,False,spearman,0.14383164399228868,1.005591365436483e-43,True,False,9201
koi_srad_err2,continuous,False,spearman,0.14171157016255692,5.107770380424849e-42,True,False,9096
koi_fwm_sra,continuous,False,spearman,0.12552270801808818,3.901768947300825e-33,True,False,9058
koi_fpflag_nt,categorical,True,mutual_info,0.12101602166691153,,True,False,9564
ra,continuous,False,spearman,0.1202507452877925,3.8426589362811735e-32,True,False,9564
koi_bin_oedp_sig,continuous,False,spearman,0.11478946829746751,4.93249846059864e-25,True,False,8054
koi_depth_err2,continuous,False,spearman,0.09807643451820887,6.450231298892279e-21,True,False,9110
koi_depth_err1,continuous,False,spearman,0.09807643451820887,6.450231298892279e-21,True,False,9110
koi_fwm_sdec,continuous,False,spearman,0.09767325100509776,1.1977991119437177e-20,True,False,9058
koi_slogg_err1,continuous,False,spearman,0.0974525375901634,1.216801844133009e-20,True,False,9096
dec,continuous,False,spearman,0.09632346112307955,3.7012893661465505e-21,True,False,9564
koi_fwm_pdeco_err,continuous,False,spearman,0.09124354537823579,1.2286603912403679e-17,True,False,8747
koi_fpflag_ec,binary,True,mutual_info,0.08978811676310516,,True,False,9564
koi_duration,continuous,False,spearman,0.08616660347188343,3.137601668178834e-17,True,False,9564
koi_fwm_prao_err,continuous,False,spearman,0.08506552016535734,1.676857037271724e-15,True,False,8734
koi_smass,continuous,False,spearman,0.07877398877994975,3.822953667387474e-14,True,False,9201
koi_srad,continuous,False,spearman,0.07607827850100733,2.7283029163415e-13,True,False,9201
koi_slogg,continuous,False,spearman,0.07073341772029645,1.1023238788336996e-11,True,False,9201
koi_gmag,continuous,False,spearman,0.05196496747511007,3.8993177730462834e-07,True,False,9523
koi_kepmag,continuous,False,spearman,0.04608714394671968,6.522740732546546e-06,True,False,9563
koi_rmag,continuous,False,spearman,0.04401484877869709,1.677717919492313e-05,True,False,9555
koi_imag,continuous,False,spearman,0.03720120064954239,0.00030681361819035624,True,False,9410
koi_zmag,continuous,False,spearman,0.036814809371983344,0.0004944717257267362,True,False,8951
koi_impact_err1,continuous,False,spearman,0.03241383768663812,0.0019736437571106344,True,False,9110
koi_dikco_mdec,continuous,False,spearman,0.026250250555220615,0.012789768166986286,True,False,8994
koi_jmag,continuous,False,spearman,0.025223914053149925,0.013753670446117854,True,False,9539
koi_dikco_mra,continuous,False,spearman,0.022373266706925552,0.03385642919170741,True,False,8994
koi_dicco_mra,continuous,False,spearman,0.01996835937928881,0.058677402533732964,False,False,8965
koi_hmag,continuous,False,spearman,0.019464264199727046,0.057306873687373576,False,False,9539
koi_kmag,continuous,False,spearman,0.01889864496606146,0.06493402060478656,False,False,9539
koi_dicco_mdec,continuous,False,spearman,0.015224953248020194,0.14946121055942627,False,False,8965
koi_fwm_pdeco,continuous,False,spearman,0.012562286882289194,0.24008621887040169,False,False,8747
koi_fwm_srao,continuous,False,spearman,0.01109240229845828,0.28980105691362573,False,False,9109
koi_fwm_sdeco,continuous,False,spearman,0.003430046284977408,0.743423323962743,False,False,9109
koi_fwm_prao,continuous,False,spearman,0.0005802795661570609,0.956757675176594,False,False,8734
koi_ldm_coeff3,binary,False,chi_square,0.0,1.0,False,False,9201
koi_eccen,binary,False,chi_square,0.0,1.0,False,False,9201
koi_ldm_coeff4,binary,False,chi_square,0.0,1.0,False,False,9201
