koi_score,koi_fwm_stat_sig,koi_srho_err2,koi_dor_err2,koi_dor_err1,koi_incl,koi_prad_err1,koi_count,koi_dor,koi_dikco_mdec_err,koi_period_err1,koi_period_err2,koi_dikco_mra_err,koi_prad_err2,koi_dikco_msky_err,koi_max_sngle_ev,koi_prad,koi_dicco_mdec_err,koi_model_snr,koi_dicco_mra_err,koi_disposition
1.0,0.002,-1.09986,-2.6,2.6,89.66,0.26,2,24.81,0.17,2.775e-05,-2.775e-05,0.13,-0.15,0.16,5.135849,2.26,0.16,35.8,0.13,CONFIRMED
0.969,0.003,-2.49638,-28.4,28.4,89.57,0.32,2,77.9,0.73,0.0002479,-0.0002479,0.34,-0.19,0.45,7.027669,2.83,0.48,25.8,0.36,CONFIRMED
0.0,0.278,-2.75453,-25.7,25.7,88.96,3.92,1,53.5,0.074,1.494e-05,-1.494e-05,0.071,-1.31,0.074,37.159767,14.6,0.07,76.3,0.07,CANDIDATE
0.0,0.0,-0.01837,-0.136,0.136,67.09,8.5,1,3.278,0.077,2.63e-07,-2.63e-07,0.072,-2.83,0.076,39.06655,33.46,0.078,505.6,0.072,FALSE POSITIVE
1.0,0.733,-1.74541,-4.0,4.0,85.41,0.88,1,8.75,0.16,3.761e-06,-3.761e-06,0.18,-0.35,0.2,4.749945,2.75,0.18,40.9,0.19,CONFIRMED
1.0,,-0.38858,-8.1,8.1,88.11,1.27,3,16.36,0.1,2.036e-05,-2.036e-05,0.13,-0.42,0.1,9.046456,3.9,0.11,66.5,0.12,CONFIRMED
1.0,,-0.26357,-2.8,2.8,83.72,0.9,3,6.96,0.15,1.046e-05,-1.046e-05,0.15,-0.3,0.17,5.500643,2.77,0.16,40.2,0.14,CONFIRMED
0.992,,-0.45121,-2.7,2.7,82.17,0.52,3,5.54,0.21,1.781e-05,-1.781e-05,0.33,-0.17,0.3,4.3886313,1.59,0.21,15.0,0.33,CONFIRMED
0.0,0.0,-0.00053,-1.2,1.2,60.92,6.45,1,2.4,0.074,2.128e-05,-2.128e-05,0.071,-9.67,0.077,10.964684,39.21,0.072,47.7,0.071,FALSE POSITIVE
1.0,0.063,-0.51226,-1.2,1.2,89.92,0.22,3,36.85,0.082,1.088e-05,-1.088e-05,0.075,-0.49,0.081,20.457163,5.76,0.073,161.9,0.075,CONFIRMED
0.811,0.0,-0.00846,-0.0269,0.0269,84.41,0.51,1,8.3977,0.17,2.7e-08,-2.7e-08,0.069,-0.51,0.17,544.1701,13.04,0.16,4304.3,0.068,CONFIRMED
1.0,,-0.02633,-0.345,0.345,87.21,0.81,1,4.602,0.51,4.3e-08,-4.3e-08,0.69,-0.91,0.75,232.27,16.1,0.5,5945.9,0.57,CONFIRMED
0.998,0.0,-0.01458,-0.171,0.171,85.2,1.11,1,7.541,0.068,1.98e-07,-1.98e-07,0.067,-1.11,0.068,130.83832,14.59,0.067,1741.5,0.067,CONFIRMED
1.0,0.009,-0.57483,-0.398,0.398,89.73,0.17,2,10.888,0.27,6.536e-06,-6.536e-06,0.16,-0.12,0.21,4.8657312,1.16,0.28,50.6,0.16,CONFIRMED
0.0,0.895,-0.41065,-9.4,9.4,83.13,39.76,1,20.75,0.07,1.98e-06,-1.98e-06,0.067,-13.31,0.067,92.901566,150.51,0.067,622.1,0.067,FALSE POSITIVE
0.0,0.048,-0.00172,-0.257,0.257,84.93,0.76,1,9.099,0.069,2.068e-05,-2.068e-05,0.068,-0.68,0.068,49.468765,7.18,0.068,214.7,0.067,FALSE POSITIVE
0.0,0.0,-0.02917,-0.131,0.131,88.05,16.03,2,31.323,0.067,1.123e-06,-1.123e-06,0.068,-5.0,0.067,387.658,49.29,0.067,2317.0,0.067,FALSE POSITIVE
0.0,0.0,-0.01907,-1.5,1.5,88.81,0.89,1,14.05,0.072,1.361e-05,-1.361e-05,0.07,-0.89,0.071,43.1625,7.94,0.067,303.4,0.068,FALSE POSITIVE
1.0,0.037,-0.14046,-5.6,5.6,88.93,0.2,1,20.65,0.081,1.037e-05,-1.037e-05,0.084,-0.24,0.081,9.616924,2.47,0.073,87.2,0.085,CONFIRMED
1.0,0.77,-3.66782,-4.1,4.1,89.5,0.26,1,29.31,0.12,5.509e-06,-5.509e-06,0.11,-0.15,0.1,6.876831,2.85,0.12,65.4,0.11,CONFIRMED
0.0,0.0,-0.14593,-0.162,0.162,89.56,0.13,1,5.827,0.5,7.534e-06,-7.534e-06,0.52,-0.16,0.54,5.508401,1.58,0.52,48.2,0.58,FALSE POSITIVE
1.0,0.002,-0.73875,-0.0496,0.0496,89.62,0.16,3,13.8015,0.12,8.834e-06,-8.834e-06,0.12,-0.24,0.12,6.0370364,2.55,0.12,60.6,0.13,CONFIRMED
0.98,0.464,-0.52982,-2.4,2.4,88.88,0.11,3,11.51,0.2,1.094e-05,-1.094e-05,0.19,-0.16,0.2,4.5118856,1.7,0.31,28.9,0.22,CONFIRMED
0.971,0.013,-0.63643,-2.7,2.7,89.92,0.09,3,17.46,0.56,6.787e-05,-6.787e-05,0.99,-0.12,0.96,4.434382,1.3,0.56,14.1,0.93,CONFIRMED
,0.002,-0.12558,-22.2,22.2,89.95,1.68,1,332.0,0.07,0.0001369,-0.0001369,0.075,-1.68,0.07,,41.5,0.068,994.0,0.068,FALSE POSITIVE
1.0,0.103,-0.06216,-11.6,11.6,87.91,0.12,4,24.6,0.21,7.01e-05,-7.01e-05,0.13,-0.23,0.19,5.911944,2.95,0.21,34.3,0.12,CONFIRMED
1.0,0.998,-1.40683,-5.1,5.1,86.9,0.52,1,13.14,0.22,1.389e-05,-1.389e-05,0.19,-0.23,0.22,4.132564,2.78,0.26,28.2,0.18,CONFIRMED
1.0,0.0,-0.15577,-3.9,3.9,87.72,0.58,1,10.64,0.088,6.141e-06,-6.141e-06,0.089,-0.19,0.088,6.7006826,2.3,0.088,61.8,0.089,CONFIRMED
0.0,0.0,-0.30543,-1.8,1.8,79.38,1.01,1,4.67,0.074,4.7e-07,-4.7e-07,0.074,-0.44,0.076,9.787732,4.53,0.072,181.1,0.075,FALSE POSITIVE
0.0,0.0,-0.00046,-1.5,1.5,89.53,2.13,1,85.24,0.12,0.001237,-0.001237,0.089,-0.71,0.092,70.64302,14.14,0.094,642.7,0.069,FALSE POSITIVE
0.0,0.156,-0.01383,-14.4,14.4,87.54,12.79,1,29.1,0.093,0.000156,-0.000156,0.086,-5.48,0.087,31.079844,39.87,0.087,85.3,0.085,FALSE POSITIVE
1.0,0.0,-0.15885,-22.5,22.5,89.44,0.37,1,47.8,0.16,0.0001602,-0.0001602,0.13,-0.34,0.14,10.352898,2.82,0.49,34.7,0.31,CONFIRMED
0.992,0.123,-0.98055,-2.1,2.1,89.96,0.15,3,70.75,0.16,9.345e-05,-9.345e-05,0.2,-0.33,0.16,11.918161,3.86,0.13,51.2,0.19,CONFIRMED
1.0,0.236,-1.14248,-0.842,0.842,89.68,0.1,3,18.94,0.13,9.577e-06,-9.577e-06,0.12,-0.23,0.13,5.834264,2.65,0.14,47.1,0.16,CONFIRMED
1.0,0.167,-0.14515,-11.8,11.8,88.14,0.34,1,24.7,0.11,4.854e-05,-4.854e-05,0.13,-0.31,0.13,8.468995,3.1,0.13,33.2,0.13,CONFIRMED
1.0,0.047,-0.76489,-1.5,1.5,89.98,0.76,2,53.95,0.12,5.801e-05,-5.801e-05,0.093,-0.33,0.11,14.0889,3.36,0.13,80.0,0.089,CONFIRMED
0.978,0.599,-1.4525,-37.8,37.8,89.61,0.48,2,89.4,0.64,0.0007518,-0.0007518,0.37,-0.21,0.66,6.9461374,2.12,0.59,19.1,0.35,CONFIRMED
1.0,0.705,-0.18338,-0.466,0.466,86.15,1.96,1,12.386,0.068,5.15e-07,-5.15e-07,0.067,-1.46,0.068,58.764744,12.21,0.067,696.5,0.067,CONFIRMED
0.0,0.0,-0.00767,-1.1,1.1,62.69,1.64,1,2.22,0.33,5.634e-06,-5.634e-06,0.37,-0.75,0.46,5.044661,6.54,0.3,48.3,0.33,FALSE POSITIVE
1.0,0.281,-0.19399,-1.9,1.9,88.0,0.65,1,8.95,0.2,1.777e-05,-1.777e-05,0.25,-0.22,0.24,4.435833,2.1,0.17,29.5,0.21,CONFIRMED
0.0,0.518,-0.03177,-2.1,2.1,88.27,3.92,1,23.98,0.067,5.862e-06,-5.862e-06,0.069,-1.69,0.068,85.46643,12.42,0.067,513.4,0.067,FALSE POSITIVE
1.0,0.0,-0.00404,-4.5,4.5,85.12,0.43,3,9.25,0.13,3.052e-06,-3.052e-06,0.078,-0.38,0.11,46.475086,2.94,0.11,166.7,0.079,CONFIRMED
0.998,0.043,-0.03545,-6.4,6.4,89.31,1.57,1,29.47,0.089,7.557e-05,-7.557e-05,0.083,-0.96,0.094,27.788597,5.5,0.092,141.1,0.082,CONFIRMED
1.0,0.645,-2.25954,-1.7,1.7,89.95,0.54,1,29.18,0.14,1.524e-05,-1.524e-05,0.11,-0.24,0.13,5.6967807,2.52,0.14,43.4,0.11,CONFIRMED
1.0,0.431,-0.44111,-2.7,2.7,85.95,1.44,1,8.45,0.075,3.133e-06,-3.133e-06,0.072,-0.51,0.073,9.387555,4.43,0.071,128.6,0.071,CONFIRMED
1.0,0.0,-0.41666,-0.595,0.595,89.37,1.62,1,9.571,0.068,1.65e-07,-1.65e-07,0.069,-0.87,0.069,104.64681,12.21,0.067,1406.8,0.067,CONFIRMED
0.0,0.0,-0.00227,-0.516,0.516,86.45,0.9,1,13.12,0.076,6.154e-05,-6.154e-05,0.07,-0.6,0.07,52.86124,7.34,0.07,236.1,0.071,FALSE POSITIVE
1.0,0.255,-0.55842,-1.2,1.2,89.19,0.54,1,10.71,0.16,8.982e-06,-8.982e-06,0.24,-0.2,0.24,4.8750124,1.89,0.15,35.6,0.25,CONFIRMED
1.0,0.016,-0.07443,-3.7,3.7,87.72,0.47,3,10.19,0.1,6.106e-06,-6.106e-06,0.096,-0.25,0.11,6.815371,3.25,0.11,71.1,0.099,CONFIRMED
1.0,0.372,-0.08378,-8.1,8.1,86.8,0.57,3,16.31,0.13,2.415e-05,-2.415e-05,0.17,-0.31,0.18,5.2506146,3.95,0.13,37.9,0.17,CONFIRMED
1.0,0.592,-0.1069,-20.7,20.7,89.28,0.41,1,47.7,0.11,5.724e-05,-5.724e-05,0.12,-0.22,0.12,8.917681,3.07,0.11,48.2,0.12,CONFIRMED
1.0,0.044,-0.08697,-7.9,7.9,87.07,0.4,4,16.93,0.15,1.585e-05,-1.585e-05,0.13,-0.27,0.13,18.771214,2.64,0.15,88.4,0.13,CONFIRMED
1.0,0.009,-0.04686,-4.2,4.2,84.02,0.26,3,8.62,0.2,1.406e-05,-1.406e-05,0.24,-0.23,0.2,6.1814723,1.79,0.2,47.1,0.23,CONFIRMED
0.014,0.0,-2.42034,-4.8,4.8,89.72,4.73,1,27.99,0.067,7.02e-07,-7.02e-07,0.068,-1.58,0.068,115.64278,15.03,0.067,835.6,0.073,FALSE POSITIVE
1.0,0.204,-1.93391,-2.5,2.5,90.0,0.09,3,42.62,0.31,5.219e-05,-5.219e-05,0.4,-0.1,0.43,6.419572,2.0,0.34,28.9,0.42,CONFIRMED
1.0,0.588,-3.06106,-1.1,1.1,89.92,0.09,3,29.84,0.17,1.493e-05,-1.493e-05,0.12,-0.11,0.17,10.036489,2.16,0.16,38.7,0.12,CONFIRMED
1.0,0.01,-2.09092,-2.9,2.9,89.98,0.09,3,71.53,0.31,0.0001809,-0.0001809,0.25,-0.09,0.33,5.9903665,1.99,0.31,21.7,0.22,CONFIRMED
1.0,0.0,-0.40433,-3.1,3.1,86.7,1.22,1,9.7,0.071,9.36e-07,-9.36e-07,0.07,-0.52,0.071,28.264866,6.02,0.069,345.2,0.068,CONFIRMED
0.999,0.027,-1.19072,-24.1,24.1,89.05,1.12,1,54.7,0.075,0.0001139,-0.0001139,0.071,-0.91,0.072,22.598503,7.51,0.076,36.9,0.072,CANDIDATE
