feature,type,is_flag,metric_name,metric_value,p_value,is_significant,is_selected,n_samples
koi_score,continuous,False,spearman,0.7504477082991555,0.0,True,True,8054
koi_fwm_stat_sig,continuous,False,spearman,0.4513216821049787,0.0,True,True,8488
koi_srho_err2,continuous,False,spearman,0.37745509920627757,0.0,True,True,9243
koi_dor_err2,continuous,False,spearman,0.36512260147789094,2.4035167895014288e-285,True,True,9110
koi_dor_err1,continuous,False,spearman,0.36512260147789094,2.4035167895014288e-285,True,True,9110
koi_incl,continuous,False,spearman,0.36233791131469467,1.773386876220093e-283,True,True,9200
koi_prad_err1,continuous,False,spearman,0.35149781389780654,8.824311396614853e-266,True,True,9201
koi_count,categorical,False,chi_square,0.3427243947183581,0.0,True,True,9564
koi_dor,continuous,False,spearman,0.32953534602399004,5.960688866593612e-232,True,True,9201
koi_dikco_mdec_err,continuous,False,spearman,0.32834500088893026,4.60850037650351e-225,True,True,8994
koi_period_err1,continuous,False,spearman,0.3274398682074558,1.2701831127655688e-226,True,True,9110
koi_period_err2,continuous,False,spearman,0.3274398682074558,1.2701831127655688e-226,True,True,9110
koi_dikco_mra_err,continuous,False,spearman,0.3193298355898774,2.5859434112216736e-212,True,True,8994
koi_prad_err2,continuous,False,spearman,0.3160675550312411,1.524399133339658e-212,True,True,9201
koi_dikco_msky_err,continuous,False,spearman,0.3147371010902836,5.50109683019618e-206,True,True,8994
koi_max_sngle_ev,continuous,False,spearman,0.3137896664643927,8.336679863831467e-192,True,True,8422
koi_prad,continuous,False,spearman,0.3120393997785991,6.247370619211112e-207,True,True,9201
koi_dicco_mdec_err,continuous,False,spearman,0.31137776693788466,8.73383659172958e-201,True,True,8965
koi_model_snr,continuous,False,spearman,0.3085438241050858,3.9400756164017913e-202,True,True,9201
koi_dicco_mra_err,continuous,False,spearman,0.3006176762452728,1.2519237097740545e-186,True,True,8965
