feature,type,is_flag,metric_name,metric_value,p_value,is_significant,is_selected,n_samples
st_brightness_norm,continuous,False,spearman,0.29867858045554796,1.6783793746780268e-158,True,True,7703
st_tmag,continuous,False,spearman,0.29867858045554796,1.6783793746780268e-158,True,True,7703
st_tmag_value,continuous,False,spearman,0.29867858045554796,1.6783793746780268e-158,True,True,7703
st_brightness_dist_product,continuous,False,spearman,0.2970080037225855,2.350017161582879e-152,True,True,7488
st_distance_norm,continuous,False,spearman,0.23787425916430818,7.969446261072567e-97,True,True,7488
st_dist,continuous,False,spearman,0.23787425916430818,7.969446261072567e-97,True,True,7488
st_dist_value,continuous,False,spearman,0.23787425916430818,7.969446261072567e-97,True,True,7488
st_disterr1,continuous,False,spearman,0.18353954173317386,4.693161306798404e-54,True,False,6996
st_disterr2,continuous,False,spearman,0.18353954173317386,4.693161306798404e-54,True,False,6996
pl_tranmiderr1,continuous,False,spearman,0.1793105930344491,1.3542343061819882e-56,True,False,7692
pl_tranmiderr2,continuous,False,spearman,0.1793105930344491,1.3542343061819882e-56,True,False,7692
st_pmdecerr2,continuous,False,spearman,0.17032165534345733,2.2763099805676904e-50,True,False,7569
st_pmdecerr1,continuous,False,spearman,0.17032165534345733,2.2763099805676904e-50,True,False,7569
pl_tranmid,continuous,False,spearman,0.1622853603231652,1.3022000037761288e-46,True,False,7703
st_pmraerr2,continuous,False,spearman,0.14669852670450548,1.1117661226231752e-37,True,False,7569
st_pmraerr1,continuous,False,spearman,0.14669852670450548,1.1117661226231752e-37,True,False,7569
pl_trandurherr1,continuous,False,spearman,0.14033342627620507,4.019912626178926e-35,True,False,7690
pl_trandurherr2,continuous,False,spearman,0.14033342627620507,4.019912626178926e-35,True,False,7690
st_dist_quality,continuous,False,spearman,0.12562423770626197,5.264078593828435e-26,True,False,6995
pl_trandurh,continuous,False,spearman,0.11462742455389519,5.986137725127758e-24,True,False,7703
pl_trandurh_value,continuous,False,spearman,0.11462742455389519,5.986137725127758e-24,True,False,7703
pl_semimajor_proxy,continuous,False,spearman,0.10888093830187397,3.8173008926377895e-20,True,False,7089
pl_orbper,continuous,False,spearman,0.10247076739218472,3.4611235613731545e-19,True,False,7596
pl_orbper_value,continuous,False,spearman,0.10247076739218472,3.4611235613731545e-19,True,False,7596
pl_trandur_expected,continuous,False,spearman,0.09444567252949568,1.607671933427603e-15,True,False,7089
pl_trandep,continuous,False,spearman,0.09210887085455012,5.495641661954472e-16,True,False,7703
pl_trandep_value,continuous,False,spearman,0.09210887085455012,5.495641661954472e-16,True,False,7703
pl_insol_value,continuous,False,spearman,0.08219673887462708,9.188134609425964e-13,True,False,7527
pl_insol,continuous,False,spearman,0.08219673887462708,9.188134609425964e-13,True,False,7527
measurement_completeness,categorical,False,chi_square,0.07960883281799455,1.2182653720104465e-23,True,False,7703
pl_eqt_value,continuous,False,spearman,0.06868671337425396,3.391233884657498e-09,True,False,7392
pl_eqt,continuous,False,spearman,0.06868671337425396,3.391233884657498e-09,True,False,7392
st_rad_quality,continuous,False,spearman,0.06400825119051502,1.2138427116189106e-06,True,False,5740
st_loggerr1,continuous,False,spearman,0.06376866177662027,2.5562593455743622e-06,True,False,5432
st_loggerr2,continuous,False,spearman,0.06376866177662027,2.5562593455743622e-06,True,False,5432
st_tmagerr2,continuous,False,spearman,0.0602695819934237,1.1991954631616137e-07,True,False,7703
st_tmagerr1,continuous,False,spearman,0.0602695819934237,1.1991954631616137e-07,True,False,7703
st_tefferr2,continuous,False,spearman,0.052613423525796094,7.615953346095352e-06,True,False,7229
st_tefferr1,continuous,False,spearman,0.052613423525796094,7.615953346095352e-06,True,False,7229
pl_orbpererr1,continuous,False,spearman,0.04928828608930701,1.7800625272797124e-05,True,False,7572
pl_orbpererr2,continuous,False,spearman,0.04928828608930701,1.7800625272797124e-05,True,False,7572
pl_rade_snr,continuous,False,spearman,0.045864816808231686,0.0003469934730625669,True,False,6080
pl_trandurh_snr,continuous,False,spearman,0.045301534576168374,7.06738591918215e-05,True,False,7690
st_pmdec,continuous,False,spearman,0.03614460386119239,0.0016603642839745703,True,False,7569
pl_rade,continuous,False,spearman,0.03566127247345757,0.0024800439911628813,True,False,7197
pl_rade_value,continuous,False,spearman,0.03566127247345757,0.0024800439911628813,True,False,7197
pl_rad_ratio,continuous,False,spearman,0.03355055393639867,0.004422010756178433,True,False,7196
st_raderr1,continuous,False,spearman,0.032044525140092935,0.015187481852095164,True,False,5740
st_raderr2,continuous,False,spearman,0.032044525140092935,0.015187481852095164,True,False,5740
st_logg,continuous,False,spearman,0.027783321897751314,0.021504968983776344,True,False,6847
st_logg_value,continuous,False,spearman,0.027783321897751314,0.021504968983776344,True,False,6847
pl_trandur_ratio,continuous,False,spearman,0.026586606920577772,0.025188977519521965,True,False,7089
pl_radeerr1,continuous,False,spearman,0.02605421835338013,0.04220551761533448,True,False,6080
pl_radeerr2,continuous,False,spearman,0.02605421835338013,0.04220551761533448,True,False,6080
pl_trandep_snr,continuous,False,spearman,0.025760835829878006,0.023816798770105858,True,False,7697
dec,continuous,False,spearman,0.02510420320937805,0.027573355697632935,True,False,7703
pl_orbper_snr,continuous,False,spearman,0.02029440691080985,0.07742041912388463,False,False,7572
pl_trandeperr2,continuous,False,spearman,0.019197255507646484,0.09216122678988184,False,False,7697
pl_trandeperr1,continuous,False,spearman,0.019197255507646484,0.09216122678988184,False,False,7697
st_teff_value,continuous,False,spearman,0.0179848637442113,0.11834517076677385,False,False,7542
st_teff,continuous,False,spearman,0.0179848637442113,0.11834517076677385,False,False,7542
ra,continuous,False,spearman,0.017756496401626173,0.11916222764424159,False,False,7703
st_rad_value,continuous,False,spearman,0.01775399322493196,0.13208904625002527,False,False,7196
st_rad,continuous,False,spearman,0.01775399322493196,0.13208904625002527,False,False,7196
