feature,correlation,p_value,n_samples
st_tmag_value,0.29867858045554796,1.6783793746780268e-158,7703
st_brightness_norm,0.29867858045554796,1.6783793746780268e-158,7703
st_brightness_dist_product,0.2970080037225855,2.350017161582879e-152,7488
st_dist_value,0.23787425916430818,7.969446261072567e-97,7488
st_distance_norm,0.23787425916430818,7.969446261072567e-97,7488
st_dist_quality,0.12562423770626197,5.264078593828435e-26,6995
pl_trandurh_value,0.11462742455389519,5.986137725127758e-24,7703
pl_semimajor_proxy,0.10888093830187397,3.8173008926377895e-20,7089
pl_orbper_value,0.10247076739218472,3.4611235613731545e-19,7596
pl_trandur_expected,0.09444567252949568,1.607671933427603e-15,7089
pl_trandep_value,0.09210887085455012,5.495641661954472e-16,7703
pl_insol_value,0.08219673887462708,9.188134609425964e-13,7527
pl_eqt_value,0.06868671337425396,3.391233884657498e-09,7392
st_rad_quality,0.06401412880713525,1.2111110029275288e-06,5740
pl_rade_snr,0.045864816808231686,0.0003469934730625669,6080
pl_trandurh_snr,0.045301534576168374,7.06738591918215e-05,7690
pl_rade_value,0.03566127247345757,0.0024800439911628813,7197
pl_rad_ratio,0.03355055393639867,0.004422010756178433,7196
st_logg_value,0.027783321897751314,0.021504968983776344,6847
pl_trandur_ratio,0.026586606920577772,0.025188977519521965,7089
pl_trandep_snr,0.025760835829878006,0.023816798770105858,7697
pl_orbper_snr,0.02029440691080985,0.07742041912388463,7572
st_teff_value,0.0179848637442113,0.11834517076677385,7542
st_rad_value,0.01775399322493196,0.13208904625002527,7196
avg_measurement_snr,0.00769004945828063,0.4998666876480461,7700
measurement_completeness,0.007514782083030149,0.5096067331540447,7703
