toi,toipfx,st_tmag,st_dist,st_disterr1,st_disterr2,st_pmdecerr2,st_pmdecerr1,tfopwg_disp
1000.01,1000,9.604,485.735,11.9515,-11.9515,-0.072,0.072,FP
1001.01,1001,9.42344,295.862,5.91,-5.91,-0.072,0.072,PC
1002.01,1002,9.299501,943.109,106.333,-106.333,-0.206,0.206,FP
1003.01,1003,9.3003,7728.17,1899.57,-1899.57,-0.055,0.055,FP
1004.01,1004,9.1355,356.437,4.6175,-4.6175,-0.062,0.062,FP
1005.01,1005,9.1309,100.711,14.121,-14.121,-2.06,2.06,FP
1006.01,1006,9.2386,,,,-2.2,2.2,FP
1007.01,1007,8.87759,283.291,3.0025,-3.0025,-0.045,0.045,PC
1008.01,1008,8.9362,144.297,,,-1.0,1.0,FP
1009.01,1009,8.4331,866.147,172.097,-172.097,-0.358,0.358,PC
101.01,101,12.4069,375.31,4.411,-4.411,-0.041,0.041,KP
1010.01,1010,8.45086,485.122,36.246,-36.246,-0.261,0.261,FP
1011.01,1011,8.2388,52.62,0.0793,-0.0793,-0.052,0.052,PC
1012.01,1012,8.12718,295.959,11.315,-11.315,-0.106,0.106,APC
1013.01,1013,7.6095,510.295,9.32,-9.32,-0.071,0.071,FP
1014.01,1014,7.678,224.672,2.8445,-2.8445,-0.141,0.141,FP
1015.01,1015,10.7069,906.496,28.8415,-28.8415,-0.053,0.053,FP
1016.01,1016,10.6257,368.646,3.784,-3.784,-0.052,0.052,FP
1017.01,1017,10.6019,406.997,4.7245,-4.7245,-0.045,0.045,FP
1018.01,1018,10.6254,360.541,2.9645,-2.9645,-0.047,0.047,FP
1019.01,1019,10.6348,399.544,4.1635,-4.1635,-0.061,0.061,PC
102.01,102,9.7109,175.631,0.588,-0.588,-0.037,0.037,KP
1020.01,1020,10.7173,906.827,23.8635,-23.8635,-0.047,0.047,FP
1021.01,1021,10.5551,235.974,1.579,-1.579,-0.051,0.051,FP
1022.01,1022,8.72924,120.666,1.068,-1.068,-0.077,0.077,FA
1023.01,1023,9.697,316.398,2.247,-2.247,-0.04,0.04,FP
1024.01,1024,10.0814,692.266,12.113,-12.113,-0.047,0.047,FP
1025.01,1025,5.5324,129.838,1.713,-1.713,-0.178,0.178,PC
1026.01,1026,9.9138,105.677,0.2575,-0.2575,-0.039,0.039,FP
1027.01,1027,10.2103,56.3449,0.13245,-0.13245,-0.057,0.057,PC
1027.02,1027,10.2103,56.3449,0.13245,-0.13245,-0.057,0.057,PC
1027.03,1027,10.2103,56.3449,0.13245,-0.13245,-0.057,0.057,PC
1028.01,1028,7.9059,23.7748,0.02025,-0.02025,-0.056,0.056,FP
1029.01,1029,6.841,,,,,,FP
103.01,103,11.5232,411.211,7.752,-7.752,-0.051,0.051,KP
1030.01,1030,9.5706,78.41273,2.83992,-2.83992,-1.073,1.073,FP
1031.01,1031,9.7318,270.771,1.6275,-1.6275,-0.047,0.047,FP
1032.01,1032,9.7611,587.196,18.7865,-18.7865,-0.087,0.087,PC
1033.01,1033,10.0163,219.94,,,-2.2,2.2,FP
1034.01,1034,9.8174,363.44,4.983,-4.983,-0.062,0.062,FP
1035.01,1035,10.1126,347.556,13.63,-13.63,-0.207,0.207,PC
1036.01,1036,10.2855,184.015,0.962,-0.962,-0.049,0.049,PC
1037.01,1037,9.0211,279.698,3.279,-3.279,-0.068,0.068,FP
1038.01,1038,8.7157,280.765,,,-1.5,1.5,FP
1039.01,1039,8.5483,2864.34,1012.54,-1012.54,-0.246,0.246,APC
104.01,104,9.8638,316.678,2.9655,-2.9655,-0.043,0.043,KP
1040.01,1040,8.3854,732.432,32.449,-32.449,-0.097,0.097,FP
1041.01,1041,8.0981,305.034,2.981,-2.981,-0.058,0.058,FP
1042.01,1042,9.718,792.633,19.4965,-19.4965,-0.057,0.057,PC
1043.01,1043,9.5719,208.055,1.1015,-1.1015,-0.045,0.045,FP
1044.01,1044,10.0031,494.689,9.557,-9.557,-0.069,0.069,PC
1045.01,1045,9.6306,300.696,3.3695,-3.3695,-0.057,0.057,FP
1046.01,1046,10.0119,301.298,2.496,-2.496,-0.048,0.048,FP
1047.01,1047,10.2355,134.926,1.0555,-1.0555,-0.128,0.128,FP
1048.01,1048,8.802,440.426,9.484,-9.484,-0.089,0.089,FP
1049.01,1049,11.0657,314.995,7.0655,-7.0655,-0.055,0.055,KP
105.01,105,9.4995,137.544,0.7905,-0.7905,-0.069,0.069,KP
1050.01,1050,11.0261,405.908,8.6,-8.6,-0.055,0.055,KP
1051.01,1051,7.1278,53.19149,,,-2.0,2.0,FA
1052.01,1052,9.0197,129.804,0.5575,-0.5575,-0.044,0.044,CP
1053.01,1053,8.8849,263.729,2.8735,-2.8735,-0.059,0.059,FP
1054.01,1054,8.4362,88.4343,0.28175,-0.28175,-0.049,0.049,CP
1055.01,1055,8.0888,57.2651,0.18695,-0.18695,-0.052,0.052,CP
1056.01,1056,9.6663,168.354,0.6765,-0.6765,-0.044,0.044,PC
1057.01,1057,9.4091,98.2855,0.26725,-0.26725,-0.076,0.076,PC
1058.01,1058,9.3781,338.831,6.705,-6.705,-0.067,0.067,PC
1059.01,1059,9.7825,98.8783,0.4197,-0.4197,-0.034,0.034,PC
106.01,106,10.3157,364.411,2.729,-2.729,-0.052,0.052,KP
1060.01,1060,9.6652,128.491,3.3745,-3.3745,-0.228,0.228,APC
1061.01,1061,9.7345,133.171,0.6935,-0.6935,-0.091,0.091,FP
1062.01,1062,9.478,82.1733,0.1632,-0.1632,-0.042,0.042,CP
1063.01,1063,9.0689,61.1201,0.1009,-0.1009,-0.044,0.044,PC
1064.01,1064,10.0059,68.0726,0.362,-0.362,-0.072,0.072,CP
1064.02,1064,10.0059,68.0726,0.362,-0.362,-0.072,0.072,CP
1065.01,1065,13.2851,639.004,9.4715,-9.4715,-0.029,0.029,KP
1066.01,1066,11.9707,353.891,4.919,-4.919,-0.042,0.042,KP
1067.01,1067,13.1686,263.609,1.659,-1.659,-0.029,0.029,KP
1068.01,1068,13.2887,535.383,7.8145,-7.8145,-0.042,0.042,KP
1069.01,1069,10.4293,197.996,3.038,-3.038,-0.089,0.089,KP
107.01,107,9.6433,211.211,2.4835,-2.4835,-0.059,0.059,KP
1070.01,1070,15.7114,,,,,,FP
1071.01,1071,11.5803,290.198,2.937,-2.937,-0.048,0.048,KP
1072.01,1072,11.7106,703.878,10.696,-10.696,-0.04,0.04,FP
1073.01,1073,13.6699,300.67,3.806,-3.806,-0.038,0.038,CP
1074.01,1074,10.6339,107.356,0.408,-0.408,-0.054,0.054,PC
1075.01,1075,11.1186,61.4592,0.09435,-0.09435,-0.039,0.039,CP
1076.01,1076,11.2474,248.46,2.1455,-2.1455,-0.047,0.047,KP
1077.01,1077,13.461,463.683,3.3225,-3.3225,-0.031,0.031,PC
1078.01,1078,10.1165,20.373,0.0192,-0.0192,-0.073,0.073,CP
1079.01,1079,13.1284,1179.27,45.91,-45.91,-0.043,0.043,PC
108.01,108,13.163,421.855,8.339,-8.339,-0.038,0.038,KP
1080.01,1080,12.7067,25.559,0.0541,-0.0541,-0.109,0.109,PC
1081.01,1081,11.5247,354.05,,,-1.083,1.083,PC
1082.01,1082,11.8835,100.248,0.25385,-0.25385,-0.05,0.05,PC
1083.01,1083,12.0936,68.9109,0.125,-0.125,-0.055,0.055,PC
1084.01,1084,12.2851,494.182,12.174,-12.174,-0.041,0.041,KP
1085.01,1085,11.6577,444.066,,,-1.171,1.171,APC
1086.01,1086,12.2303,736.397,11.06,-11.06,-0.035,0.035,PC
1087.01,1087,9.4142,416.25,5.019,-5.019,-0.054,0.054,FP
1088.01,1088,10.4613,240.901,1.98,-1.98,-0.054,0.054,FA
1089.01,1089,10.3918,778.127,35.06,-35.06,-0.125,0.125,FP
109.01,109,13.2366,513.011,9.1275,-9.1275,-0.029,0.029,KP
1090.01,1090,10.0196,566.502,11.2155,-11.2155,-0.049,0.049,FP
1091.01,1091,9.3529,321.671,3.7845,-3.7845,-0.068,0.068,PC
1092.01,1092,9.0039,209.919,1.7045,-1.7045,-0.055,0.055,FP
1093.01,1093,10.0067,1710.22,633.01,-633.01,-0.203,0.203,FP
1094.01,1094,9.9806,426.003,9.675,-9.675,-0.092,0.092,APC
1095.01,1095,10.4291,582.521,7.7425,-7.7425,-0.042,0.042,PC
1096.01,1096,10.11,490.288,5.048,-5.048,-0.046,0.046,FP
1097.01,1097,8.7215,79.5561,0.14855,-0.14855,-0.04,0.04,CP
1097.02,1097,8.7215,79.5561,0.14855,-0.14855,-0.04,0.04,CP
